country,sex,year,ASIRsmooth
Iceland,1,2007,2.824681632
Iceland,1,2008,2.66547129
Iceland,1,2009,2.962555305
Iceland,1,2010,3.491388264
Iceland,1,2011,3.847881489
Iceland,1,2012,3.968502983
Iceland,1,2013,4.02659674
Iceland,1,2014,4.014157865
Iceland,1,2015,3.927275337
Iceland,1,2016,3.745587183
Iceland,1,2017,3.48446285
India,1,2003,0.931728596
India,1,2004,0.83126667
India,1,2005,0.782271502
India,1,2006,0.776071183
India,1,2007,0.727189156
India,1,2008,0.776242867
India,1,2009,0.876733201
India,1,2010,0.975152091
India,1,2011,0.981921897
India,1,2012,0.920198924
India,1,2013,0.831238333
India,1,2014,0.874481654
India,1,2015,0.940501127
India,1,2016,1.032501687
India,1,2017,1.17567251
Ireland,1,1994,0.97370487
Ireland,1,1995,0.919789808
Ireland,1,1996,0.877820938
Ireland,1,1997,0.854489892
Ireland,1,1998,0.854397796
Ireland,1,1999,0.828126798
Ireland,1,2000,0.832069623
Ireland,1,2001,0.94167229
Ireland,1,2002,1.032376224
Ireland,1,2003,1.08241107
Ireland,1,2004,1.159606217
Ireland,1,2005,1.278784966
Ireland,1,2006,1.374184994
Ireland,1,2007,1.420394115
Ireland,1,2008,1.49139357
Ireland,1,2009,1.651512756
Ireland,1,2010,1.85681556
Ireland,1,2011,2.084972338
Ireland,1,2012,2.406559146
Ireland,1,2013,2.605189611
Ireland,1,2014,2.465966255
Ireland,1,2015,2.386635683
Ireland,1,2016,2.286480224
Ireland,1,2017,2.191203313
Israel,1,1980,2.176682849
Israel,1,1981,2.139082843
Israel,1,1982,2.112371412
Israel,1,1983,2.091266366
Israel,1,1984,2.088748234
Israel,1,1985,2.084470815
Israel,1,1986,2.081525142
Israel,1,1987,2.135584457
Israel,1,1988,2.320366198
Israel,1,1989,2.534696297
Israel,1,1990,2.736246343
Israel,1,1991,2.969519071
Israel,1,1992,3.158097191
Israel,1,1993,3.244982947
Israel,1,1994,3.291446503
Israel,1,1995,3.341873167
Israel,1,1996,3.385865972
Israel,1,1997,3.361640088
Israel,1,1998,3.350488488
Israel,1,1999,3.457918682
Israel,1,2000,3.62052612
Israel,1,2001,3.818370586
